timestamp,station_id,cycliste_id,velo_id,velo_performance,action
timestamp,station_id,cycliste_id,velo_id,velo_performance,action
timestamp,station_id,performance
en panne
2018-01-01 02:34:00,5,1
reparee
2018-01-01 07:37:00,5,4205,velo_29,0.85,donner
2018-01-01 07:37:00,5,1
2018-01-01 16:35:00,5,4901,velo_30862,0.85,recuperer
2018-01-01 16:35:00,5,1
2018-01-01 19:32:00,5,4205,velo_27483,0.6101204725734312,recuperer
2018-01-01 19:32:00,5,1
2018-01-02 07:37:00,5,4205,velo_30,0.85,donner
2018-01-02 07:37:00,5,1
2018-01-02 19:28:00,5,4205,velo_12168,0.7092194386193917,recuperer
2018-01-02 19:28:00,5,1
2018-01-03 02:34:00,5,4901,velo_12168,0.5069705530187976,donner
2018-01-03 02:34:00,5,1
2018-01-03 09:16:00,5,5391,velo_2139,0.8006412929633107,recuperer
2018-01-03 09:16:00,5,1
2018-01-03 17:16:00,5,4901,velo_5628,0.6661586126938318,recuperer
2018-01-03 17:16:00,5,1
2018-01-03 21:14:00,5,5391,velo_30862,0.6222772836370993,donner
2018-01-03 21:14:00,5,1
2018-01-04 07:37:00,5,4205,velo_27483,0.4068606374362749,donner
2018-01-04 07:37:00,5,1
2018-01-04 09:25:00,5,5391,velo_16941,0.6234622027153238,recuperer
2018-01-04 09:25:00,5,1
2018-01-04 19:32:00,5,4205,velo_22331,0.7095109781851568,recuperer
2018-01-04 19:32:00,5,1
2018-01-04 21:14:00,5,5391,velo_16941,0.4893314429573351,donner
2018-01-04 21:14:00,5,1
2018-01-05 02:34:00,5,4901,velo_5628,0.6346486293335083,donner
2018-01-05 02:34:00,5,1
2018-01-05 07:37:00,5,4205,velo_22331,0.6384040739406722,donner
2018-01-05 07:37:00,5,1
2018-01-05 09:26:00,5,5391,velo_1686,0.56003145333921,recuperer
2018-01-05 09:26:00,5,1
2018-01-05 16:55:00,5,4901,velo_20,0.85,recuperer
2018-01-05 16:55:00,5,1
2018-01-05 19:32:00,5,4205,velo_952,0.6908705082147734,recuperer
2018-01-05 19:32:00,5,1
2018-01-05 21:14:00,5,5391,velo_20,0.85,donner
2018-01-05 21:14:00,5,1
2018-01-06 10:01:00,5,1398,velo_3849,0.7746162935111686,recuperer
2018-01-06 10:01:00,5,1
2018-01-06 19:50:00,5,1398,velo_2139,0.7917623952035511,donner
2018-01-06 19:50:00,5,1
2018-01-07 02:34:00,5,4901,velo_3849,0.7695660520402025,donner
2018-01-07 02:34:00,5,1
2018-01-07 09:38:00,5,1
reparee
2018-01-07 09:58:00,5,1398,velo_851,0.8592223715786328,recuperer
2018-01-07 09:58:00,5,1
2018-01-07 17:09:00,5,4901,velo_1037,0.6887039061475236,recuperer
2018-01-07 17:09:00,5,1
2018-01-07 19:50:00,5,1398,velo_851,0.8579929341069271,donner
2018-01-07 19:50:00,5,1
2018-01-08 02:34:00,5,4901,velo_1686,0.5406754873122751,donner
2018-01-08 02:34:00,5,1
2018-01-08 07:37:00,5,4205,velo_952,0.6839925273768545,donner
2018-01-08 07:37:00,5,1
2018-01-08 14:04:00,5,5391,velo_2319,0.6076880030798542,recuperer
2018-01-08 14:04:00,5,1
2018-01-08 21:14:00,5,5391,velo_2319,0.587851673304058,donner
2018-01-08 21:14:00,5,1
2018-01-08 21:34:00,5,4205,velo_18,0.9280369547804387,recuperer
2018-01-08 21:34:00,5,1
2018-01-09 07:37:00,5,4205,velo_18,0.9280369547804387,donner
2018-01-09 07:37:00,5,1
2018-01-09 14:22:00,5,5391,velo_741,0.8204796491370712,recuperer
2018-01-09 14:22:00,5,1
2018-01-09 21:14:00,5,5391,velo_1037,0.6834020847895398,donner
2018-01-09 21:14:00,5,1
2018-01-09 22:52:00,5,4205,velo_4670,0.4299935570799558,recuperer
2018-01-09 22:52:00,5,1
2018-01-10 22:09:00,5,5391,velo_1643,0.4243536556834675,recuperer
2018-01-10 22:09:00,5,1
2018-01-10 22:14:00,5,5391,velo_4670,0.4259384737649995,donner
2018-01-10 22:14:00,5,1
2018-01-11 07:37:00,5,4205,velo_741,0.8122996855639567,donner
2018-01-11 07:37:00,5,1
2018-01-11 11:39:00,5,5391,velo_244,0.7781706504416706,recuperer
2018-01-11 11:39:00,5,1
2018-01-11 21:14:00,5,5391,velo_1643,0.41515072647852036,donner
2018-01-11 21:14:00,5,1
2018-01-11 21:56:00,5,4205,velo_144,0.85,recuperer
2018-01-11 21:56:00,5,1
2018-01-12 07:37:00,5,4205,velo_144,0.85,donner
2018-01-12 07:37:00,5,1
2018-01-12 09:59:00,5,5391,velo_315,0.8322335429012636,recuperer
2018-01-12 09:59:00,5,1
2018-01-12 21:14:00,5,5391,velo_315,0.8300559211603578,donner
2018-01-12 21:14:00,5,1
2018-01-13 02:59:00,5,4205,velo_1646,0.4381578357578721,recuperer
2018-01-13 02:59:00,5,1
2018-01-13 16:42:00,5,1
reparee
2018-01-13 19:50:00,5,1398,velo_1646,0.41800662620452245,donner
2018-01-13 19:50:00,5,1
