cycliste,sportif,age,sexe,nb_km,vitesse,attente
cycliste_azrc5,-0.5,24,femme,14.9038044082,12.0815937384,0.5
cycliste_azrs0,-0.5,67,femme,14.5112928217,14.0640955863,0.5
cycliste_azyqs,6,27,femme,9.90271533363,20.937700539,0.5
cycliste_azqb1,2,46,homme,9.73490180628,24.0848358156,0.5
cycliste_azulv,2,64,femme,5.62040512786,11.4958355607,0.5
cycliste_aztw9,0,46,homme,6.46608465887,18.246080935,0.5
cycliste_azpv3,0,36,homme,9.43916067295,18.4143372544,0.5
cycliste_azplv,-0.5,58,homme,9.0782398524,8.72460472463,0.5
cycliste_azrtk,-0.5,65,homme,3.5322068656,14.8568162619,0.5
cycliste_azuox,2,45,homme,5.4513563806,25.8218972245,0.5
cycliste_azujc,2,31,femme,13.4490339145,11.7319480269,0.5
cycliste_azo45,-0.5,74,femme,18.4436096259,14.0701774906,0.5
cycliste_azpb0,-0.5,43,femme,3.53962013389,13.5718267349,0.5
cycliste_azthx,6,34,femme,10.3861650934,25.499703242,0.5
cycliste_azud2,4,58,femme,11.6096556086,8.980961066,0.5
cycliste_azy20,0,63,femme,7.97304747086,13.9636259682,0.5
cycliste_azrfv,0,28,femme,6.09688441815,15.2670259074,0.5
cycliste_azimb,0,65,femme,11.2442850905,7.42201605136,0.5
cycliste_azeb5,-0.5,44,femme,8.34992836149,11.452067904,0.5
cycliste_azugx,-0.5,22,femme,6.22482157684,20.9515802876,0.5
cycliste_azey2,-0.5,15,femme,10.3434540516,18.1680814352,0.5
cycliste_azrn7,6,67,homme,8.45624157454,16.9532025678,0.5
cycliste_azuw2,-0.5,28,homme,11.8249500461,19.9045110086,0.5
cycliste_azrj9,4,33,femme,11.6251783699,22.9371611338,0.5
cycliste_azsd8,2,22,homme,4.24956643658,29.4067837741,0.5
cycliste_azeru,6,74,homme,6.47342075342,20.9649168718,0.5
cycliste_azi40,2,27,femme,13.2572522323,22.9118860789,0.5
cycliste_aztu5,-0.5,45,femme,6.95982051949,6.09340610167,0.5
cycliste_azrxb,-0.5,32,homme,10.7653442672,21.6847456329,0.5
cycliste_azewx,0,49,homme,3.27406669834,17.7872259667,0.5
cycliste_azip3,4,74,homme,5.02674685708,25.0119706953,0.5
cycliste_azow6,4,66,femme,16.8005874355,16.3481687819,0.5
cycliste_azqj5,6,33,femme,4.27227207563,22.6804380586,0.5
cycliste_azof6,0,20,femme,9.28277318115,17.9046848355,0.5
cycliste_aztik,0,18,homme,6.54293856212,19.8288764588,0.5
cycliste_azr38,2,52,femme,9.62410072397,15.1935565131,0.5
cycliste_aztu9,2,65,homme,11.713029155,15.0758528,0.5
cycliste_azpql,6,58,femme,4.0011272182,15.2328447803,0.5
cycliste_aztf9,0,34,homme,13.0751337721,24.1835879948,0.5
cycliste_azpn2,-0.5,62,femme,11.5518818961,8.79664592504,0.5
cycliste_azyug,4,32,homme,4.91829329896,19.6838933222,0.5
cycliste_azifc,-0.5,15,femme,6.42782214494,14.2781303767,0.5
cycliste_azov4,2,41,femme,14.9697491751,12.4362535525,0.5
cycliste_azruw,4,41,homme,2.85011897197,28.1626681675,0.5
cycliste_azipq,2,40,homme,6.65477855077,23.4997721444,0.5
cycliste_azqkv,-0.5,45,femme,7.3076522639,18.2023326952,0.5
cycliste_azru5,-0.5,78,femme,13.1819146115,12.1775946514,0.5
cycliste_azyl8,0,33,homme,3.46880588004,25.8707304079,0.5
cycliste_azec5,6,69,femme,9.68122866909,13.0626446925,0.5
cycliste_azom1,4,59,femme,8.54229410718,14.0189831651,0.5
cycliste_azp36,2,80,femme,9.01927522886,8.57106279803,0.5
cycliste_azo40,-0.5,68,femme,10.656343826,11.7254983947,0.5
cycliste_azis1,4,59,femme,7.55847731848,17.9970357746,0.5
cycliste_azrkv,4,25,femme,8.99832698312,20.205235552,0.5
cycliste_aztq6,0,34,homme,6.76687397771,19.7503276567,0.5
cycliste_azrs4,-0.5,72,femme,13.2925170507,9.85191348737,0.5
cycliste_azern,0,43,femme,9.87208912028,12.745012859,0.5
cycliste_azi59,0,67,femme,11.4123587736,12.1042913008,0.5
cycliste_azrhj,4,46,femme,16.8796869713,18.1582194382,0.5
cycliste_azqd3,-0.5,15,femme,11.0284365617,20.0099269898,0.5
cycliste_azpfh,6,36,femme,7.05060485291,26.3193731218,0.5
cycliste_azpfw,2,63,homme,9.8854801418,15.9216160672,0.5
cycliste_azty4,0,73,homme,13.101191706,11.2338445413,0.5
cycliste_azos0,-0.5,39,homme,9.45959774776,8.72540495766,0.5
cycliste_azogx,0,62,femme,13.1806720583,7.46694132996,0.5
cycliste_azuo3,4,55,homme,6.13657497234,13.6069455046,0.5
cycliste_azud9,0,48,femme,13.6835275859,21.6654476484,0.5
cycliste_azts9,4,47,femme,17.1029878293,21.7803226856,0.5
cycliste_azedc,6,72,homme,8.25276156785,11.7100375634,0.5
cycliste_azrq5,0,61,femme,8.21121047743,8.26406115924,0.5
cycliste_azrty,0,22,homme,7.34822286179,28.2263376451,0.5
cycliste_azt46,-0.5,60,femme,8.24770458997,9.81597968746,0.5
cycliste_azqj9,2,61,homme,9.80091545885,14.3643751832,0.5
cycliste_azpl6,4,71,homme,4.35396908685,16.7206742958,0.5
cycliste_azrhx,4,63,homme,11.1359933469,16.9261077258,0.5
cycliste_aztn2,2,40,femme,4.29668126419,13.5031587523,0.5
cycliste_azic5,0,50,homme,8.20671824873,14.1256086342,0.5
cycliste_azupn,4,66,femme,11.1369060941,16.8238097294,0.5
cycliste_azuf8,2,31,homme,6.7776698909,23.6305498625,0.5
cycliste_azuqk,2,21,homme,4.60665181415,19.5790890198,0.5
cycliste_azpc3,6,35,femme,17.7533590631,24.9616488857,0.5
cycliste_azpn7,2,40,femme,9.15046651509,15.5642795608,0.5
cycliste_aztp5,0,74,homme,11.6221585786,18.6514155356,0.5
cycliste_azpw2,0,72,homme,1.25101108142,18.1812990156,0.5
cycliste_azopk,4,21,femme,11.3863809796,19.7202793827,0.5
cycliste_azes2,0,44,homme,13.1770056539,19.4936540717,0.5
cycliste_azruo,-0.5,20,homme,3.28873813854,27.5661993788,0.5
cycliste_azyhm,-0.5,18,femme,14.5846042421,12.8211834958,0.5
cycliste_azyv3,6,41,homme,1.24360670013,25.507049056,0.5
cycliste_azeyo,6,63,femme,2.96176627843,13.4202478918,0.5
cycliste_azom6,6,66,femme,15.8919834668,22.6948187073,0.5
cycliste_azty9,0,20,homme,7.34329670515,31.0540736202,0.5
cycliste_aztsj,6,59,femme,4.30389296971,19.8603134193,0.5
cycliste_aztuc,-0.5,56,femme,16.4568860901,9.71491428919,0.5
cycliste_aztsv,6,55,femme,6.25213622144,12.5541290212,0.5
cycliste_azox7,6,46,femme,7.01937777224,19.7493812528,0.5
cycliste_azox4,4,55,homme,11.354757353,23.9003825884,0.5
cycliste_azud6,6,49,homme,-2.9107087704,28.3526455942,0.5
cycliste_aztl3,2,77,femme,10.2228575407,11.9509308554,0.5
cycliste_azqw2,0,62,femme,13.412095403,8.85390766287,0.5
cycliste_azyg6,4,57,femme,14.2588759349,17.8456545829,0.5
cycliste_azyb8,-0.5,57,femme,11.753535525,12.7221799969,0.5
cycliste_azrjl,4,49,homme,3.47581846698,19.3470954747,0.5
cycliste_azud8,6,56,homme,7.30567940016,19.5819944132,0.5
cycliste_azek6,0,42,femme,4.64060847858,15.0753746306,0.5
cycliste_azig3,2,36,homme,17.3970642685,20.2536398961,0.5
cycliste_azrsn,-0.5,69,femme,10.1524897977,12.9154468448,0.5
cycliste_azok0,0,39,femme,11.8116461945,10.3169340084,0.5
cycliste_azpjl,0,36,homme,6.48089738637,22.692868976,0.5
cycliste_azylc,-0.5,62,homme,7.33906533669,14.3097200324,0.5
cycliste_azus1,6,71,femme,12.1539352465,17.0601520565,0.5
cycliste_azoc4,6,74,femme,4.63342179089,16.0765244646,0.5
cycliste_azu27,-0.5,22,femme,8.75007166296,19.7567327662,0.5
cycliste_azogn,-0.5,36,homme,7.08137523813,14.1779883928,0.5
